sample_id,cell_id,cell_name,nwb_file_name
20180822_sample_1,MSVHB-1,sub-mouse-MSVHB_ses-20180822-sample-1_slice-20180822-slice-1_cell-20180822-sample-1_icephys,sub-mouse-MSVHB_ses-20180822-sample-1_slice-20180822-slice-1_cell-20180822-sample-1_icephys.nwb
20180822_sample_2,MSVHB-2,sub-mouse-MSVHB_ses-20180822-sample-2_slice-20180822-slice-2_cell-20180822-sample-2_icephys,sub-mouse-MSVHB_ses-20180822-sample-2_slice-20180822-slice-2_cell-20180822-sample-2_icephys.nwb
20180822_sample_3,MSVHB-3,sub-mouse-MSVHB_ses-20180822-sample-3_slice-20180822-slice-3_cell-20180822-sample-3_icephys,sub-mouse-MSVHB_ses-20180822-sample-3_slice-20180822-slice-3_cell-20180822-sample-3_icephys.nwb
20180822_sample_4,MSVHB-4,sub-mouse-MSVHB_ses-20180822-sample-4_slice-20180822-slice-4_cell-20180822-sample-4_icephys,sub-mouse-MSVHB_ses-20180822-sample-4_slice-20180822-slice-4_cell-20180822-sample-4_icephys.nwb
20180822_sample_6,MSVHB-6,sub-mouse-MSVHB_ses-20180822-sample-6_slice-20180822-slice-6_cell-20180822-sample-6_icephys,sub-mouse-MSVHB_ses-20180822-sample-6_slice-20180822-slice-6_cell-20180822-sample-6_icephys.nwb
20180822_sample_7,MSVHB-7,sub-mouse-MSVHB_ses-20180822-sample-7_slice-20180822-slice-7_cell-20180822-sample-7_icephys,sub-mouse-MSVHB_ses-20180822-sample-7_slice-20180822-slice-7_cell-20180822-sample-7_icephys.nwb
20180828_sample_2,UAOAE-2,sub-mouse-UAOAE_ses-20180828-sample-2_slice-20180828-slice-2_cell-20180828-sample-2_icephys,sub-mouse-UAOAE_ses-20180828-sample-2_slice-20180828-slice-2_cell-20180828-sample-2_icephys.nwb
20180828_sample_3,UAOAE-3,sub-mouse-UAOAE_ses-20180828-sample-3_slice-20180828-slice-3_cell-20180828-sample-3_icephys,sub-mouse-UAOAE_ses-20180828-sample-3_slice-20180828-slice-3_cell-20180828-sample-3_icephys.nwb
20180828_sample_4,UAOAE-4,sub-mouse-UAOAE_ses-20180828-sample-4_slice-20180828-slice-4_cell-20180828-sample-4_icephys,sub-mouse-UAOAE_ses-20180828-sample-4_slice-20180828-slice-4_cell-20180828-sample-4_icephys.nwb
20180828_sample_5,UAOAE-5,sub-mouse-UAOAE_ses-20180828-sample-5_slice-20180828-slice-5_cell-20180828-sample-5_icephys,sub-mouse-UAOAE_ses-20180828-sample-5_slice-20180828-slice-5_cell-20180828-sample-5_icephys.nwb
20180828_sample_6,UAOAE-6,sub-mouse-UAOAE_ses-20180828-sample-6_slice-20180828-slice-6_cell-20180828-sample-6_icephys,sub-mouse-UAOAE_ses-20180828-sample-6_slice-20180828-slice-6_cell-20180828-sample-6_icephys.nwb
20180828_sample_7,UAOAE-7,sub-mouse-UAOAE_ses-20180828-sample-7_slice-20180828-slice-7_cell-20180828-sample-7_icephys,sub-mouse-UAOAE_ses-20180828-sample-7_slice-20180828-slice-7_cell-20180828-sample-7_icephys.nwb
20180828_sample_8,UAOAE-8,sub-mouse-UAOAE_ses-20180828-sample-8_slice-20180828-slice-8_cell-20180828-sample-8_icephys,sub-mouse-UAOAE_ses-20180828-sample-8_slice-20180828-slice-8_cell-20180828-sample-8_icephys.nwb
20180829_sample_1,PSDCQ-1,sub-mouse-PSDCQ_ses-20180829-sample-1_slice-20180829-slice-1_cell-20180829-sample-1_icephys,sub-mouse-PSDCQ_ses-20180829-sample-1_slice-20180829-slice-1_cell-20180829-sample-1_icephys.nwb
20180829_sample_2,PSDCQ-2,sub-mouse-PSDCQ_ses-20180829-sample-2_slice-20180829-slice-2_cell-20180829-sample-2_icephys,sub-mouse-PSDCQ_ses-20180829-sample-2_slice-20180829-slice-2_cell-20180829-sample-2_icephys.nwb
20180829_sample_3,PSDCQ-3,sub-mouse-PSDCQ_ses-20180829-sample-3_slice-20180829-slice-3_cell-20180829-sample-3_icephys,sub-mouse-PSDCQ_ses-20180829-sample-3_slice-20180829-slice-3_cell-20180829-sample-3_icephys.nwb
20180829_sample_4,PSDCQ-4,sub-mouse-PSDCQ_ses-20180829-sample-4_slice-20180829-slice-4_cell-20180829-sample-4_icephys,sub-mouse-PSDCQ_ses-20180829-sample-4_slice-20180829-slice-4_cell-20180829-sample-4_icephys.nwb
20180829_sample_5,PSDCQ-5,sub-mouse-PSDCQ_ses-20180829-sample-5_slice-20180829-slice-5_cell-20180829-sample-5_icephys,sub-mouse-PSDCQ_ses-20180829-sample-5_slice-20180829-slice-5_cell-20180829-sample-5_icephys.nwb
20180829_sample_6,PSDCQ-6,sub-mouse-PSDCQ_ses-20180829-sample-6_slice-20180829-slice-6_cell-20180829-sample-6_icephys,sub-mouse-PSDCQ_ses-20180829-sample-6_slice-20180829-slice-6_cell-20180829-sample-6_icephys.nwb
20180829_sample_7,PSDCQ-7,sub-mouse-PSDCQ_ses-20180829-sample-7_slice-20180829-slice-7_cell-20180829-sample-7_icephys,sub-mouse-PSDCQ_ses-20180829-sample-7_slice-20180829-slice-7_cell-20180829-sample-7_icephys.nwb
20180829_sample_8,PSDCQ-8,sub-mouse-PSDCQ_ses-20180829-sample-8_slice-20180829-slice-8_cell-20180829-sample-8_icephys,sub-mouse-PSDCQ_ses-20180829-sample-8_slice-20180829-slice-8_cell-20180829-sample-8_icephys.nwb
20180830_sample_1,QLNUF-1,sub-mouse-QLNUF_ses-20180830-sample-1_slice-20180830-slice-1_cell-20180830-sample-1_icephys,sub-mouse-QLNUF_ses-20180830-sample-1_slice-20180830-slice-1_cell-20180830-sample-1_icephys.nwb
20180830_sample_2,QLNUF-2,sub-mouse-QLNUF_ses-20180830-sample-2_slice-20180830-slice-2_cell-20180830-sample-2_icephys,sub-mouse-QLNUF_ses-20180830-sample-2_slice-20180830-slice-2_cell-20180830-sample-2_icephys.nwb
20180830_sample_5,QLNUF-5,sub-mouse-QLNUF_ses-20180830-sample-5_slice-20180830-slice-5_cell-20180830-sample-5_icephys,sub-mouse-QLNUF_ses-20180830-sample-5_slice-20180830-slice-5_cell-20180830-sample-5_icephys.nwb
20180830_sample_6,QLNUF-6,sub-mouse-QLNUF_ses-20180830-sample-6_slice-20180830-slice-6_cell-20180830-sample-6_icephys,sub-mouse-QLNUF_ses-20180830-sample-6_slice-20180830-slice-6_cell-20180830-sample-6_icephys.nwb
20180904_sample_1,CIEXQ-1,sub-mouse-CIEXQ_ses-20180904-sample-1_slice-20180904-slice-1_cell-20180904-sample-1_icephys,sub-mouse-CIEXQ_ses-20180904-sample-1_slice-20180904-slice-1_cell-20180904-sample-1_icephys.nwb
20180904_sample_2,CIEXQ-2,sub-mouse-CIEXQ_ses-20180904-sample-2_slice-20180904-slice-2_cell-20180904-sample-2_icephys,sub-mouse-CIEXQ_ses-20180904-sample-2_slice-20180904-slice-2_cell-20180904-sample-2_icephys.nwb
20180904_sample_3,CIEXQ-3,sub-mouse-CIEXQ_ses-20180904-sample-3_slice-20180904-slice-3_cell-20180904-sample-3_icephys,sub-mouse-CIEXQ_ses-20180904-sample-3_slice-20180904-slice-3_cell-20180904-sample-3_icephys.nwb
20180904_sample_4,CIEXQ-4,sub-mouse-CIEXQ_ses-20180904-sample-4_slice-20180904-slice-4_cell-20180904-sample-4_icephys,sub-mouse-CIEXQ_ses-20180904-sample-4_slice-20180904-slice-4_cell-20180904-sample-4_icephys.nwb
20180904_sample_5,CIEXQ-5,sub-mouse-CIEXQ_ses-20180904-sample-5_slice-20180904-slice-5_cell-20180904-sample-5_icephys,sub-mouse-CIEXQ_ses-20180904-sample-5_slice-20180904-slice-5_cell-20180904-sample-5_icephys.nwb
20180904_sample_6,CIEXQ-6,sub-mouse-CIEXQ_ses-20180904-sample-6_slice-20180904-slice-6_cell-20180904-sample-6_icephys,sub-mouse-CIEXQ_ses-20180904-sample-6_slice-20180904-slice-6_cell-20180904-sample-6_icephys.nwb
20180904_sample_7,CIEXQ-7,sub-mouse-CIEXQ_ses-20180904-sample-7_slice-20180904-slice-7_cell-20180904-sample-7_icephys,sub-mouse-CIEXQ_ses-20180904-sample-7_slice-20180904-slice-7_cell-20180904-sample-7_icephys.nwb
20180904_sample_9,CIEXQ-9,sub-mouse-CIEXQ_ses-20180904-sample-9_slice-20180904-slice-9_cell-20180904-sample-9_icephys,sub-mouse-CIEXQ_ses-20180904-sample-9_slice-20180904-slice-9_cell-20180904-sample-9_icephys.nwb
20180905_sample_1,NUCAT-1,sub-mouse-NUCAT_ses-20180905-sample-1_slice-20180905-slice-1_cell-20180905-sample-1_icephys,sub-mouse-NUCAT_ses-20180905-sample-1_slice-20180905-slice-1_cell-20180905-sample-1_icephys.nwb
20180905_sample_2,NUCAT-2,sub-mouse-NUCAT_ses-20180905-sample-2_slice-20180905-slice-2_cell-20180905-sample-2_icephys,sub-mouse-NUCAT_ses-20180905-sample-2_slice-20180905-slice-2_cell-20180905-sample-2_icephys.nwb
20180910_sample_2,UWACR-2,sub-mouse-UWACR_ses-20180910-sample-2_slice-20180910-slice-2_cell-20180910-sample-2_icephys,sub-mouse-UWACR_ses-20180910-sample-2_slice-20180910-slice-2_cell-20180910-sample-2_icephys.nwb
20180910_sample_3,UWACR-3,sub-mouse-UWACR_ses-20180910-sample-3_slice-20180910-slice-3_cell-20180910-sample-3_icephys,sub-mouse-UWACR_ses-20180910-sample-3_slice-20180910-slice-3_cell-20180910-sample-3_icephys.nwb
20180911_sample_1,YJVZC-1,sub-mouse-YJVZC_ses-20180911-sample-1_slice-20180911-slice-1_cell-20180911-sample-1_icephys,sub-mouse-YJVZC_ses-20180911-sample-1_slice-20180911-slice-1_cell-20180911-sample-1_icephys.nwb
20180911_sample_2,YJVZC-2,sub-mouse-YJVZC_ses-20180911-sample-2_slice-20180911-slice-2_cell-20180911-sample-2_icephys,sub-mouse-YJVZC_ses-20180911-sample-2_slice-20180911-slice-2_cell-20180911-sample-2_icephys.nwb
20180911_sample_3,YJVZC-3,sub-mouse-YJVZC_ses-20180911-sample-3_slice-20180911-slice-3_cell-20180911-sample-3_icephys,sub-mouse-YJVZC_ses-20180911-sample-3_slice-20180911-slice-3_cell-20180911-sample-3_icephys.nwb
20180911_sample_5,YJVZC-5,sub-mouse-YJVZC_ses-20180911-sample-5_slice-20180911-slice-5_cell-20180911-sample-5_icephys,sub-mouse-YJVZC_ses-20180911-sample-5_slice-20180911-slice-5_cell-20180911-sample-5_icephys.nwb
20180911_sample_6,YJVZC-6,sub-mouse-YJVZC_ses-20180911-sample-6_slice-20180911-slice-6_cell-20180911-sample-6_icephys,sub-mouse-YJVZC_ses-20180911-sample-6_slice-20180911-slice-6_cell-20180911-sample-6_icephys.nwb
